,date,cases,deaths,hospitalizations
313,2021-08-19,546,5,32.0
314,2022-06-12,525,2,23.0
315,2020-08-03,428,3,30.0
316,2020-03-25,367,5,124.0
317,2020-03-15,40,0,21.0
318,2022-01-03,9496,24,250.0
319,2021-01-09,781,17,56.0
320,2020-09-04,395,2,23.0
321,2022-02-03,527,19,38.0
322,2020-06-01,233,21,63.0
323,2020-09-09,400,5,21.0
324,2022-05-08,613,1,24.0
325,2020-09-18,356,4,21.0
326,2021-10-29,370,2,18.0
327,2022-06-10,833,0,27.0
328,2022-02-02,370,17,24.0
329,2021-06-22,32,3,3.0
330,2020-07-25,155,8,21.0
331,2022-05-26,1223,1,33.0
332,2020-09-19,170,2,19.0
333,2021-06-25,34,3,4.0
334,2020-06-28,110,5,27.0
335,2020-03-02,0,0,1.0
336,2020-11-17,2462,21,145.0
337,2020-11-15,834,13,124.0
338,2022-06-21,931,0,39.0
339,2021-05-01,352,4,59.0
340,2021-10-03,204,4,27.0
341,2021-10-20,322,5,13.0
342,2021-04-09,770,5,59.0
343,2022-04-04,517,0,17.0
344,2021-10-26,343,3,18.0
345,2021-10-31,239,1,23.0
346,2021-04-27,564,5,57.0
347,2022-01-09,2075,24,175.0
348,2020-10-02,415,4,27.0
349,2020-09-13,123,3,26.0
350,2021-03-20,277,6,29.0
351,2021-07-02,54,1,6.0
352,2021-02-14,142,9,23.0
353,2020-10-21,1180,6,60.0
354,2020-10-26,1541,8,78.0
355,2022-03-01,191,6,5.0
356,2021-03-17,483,9,28.0
357,2020-05-07,938,49,140.0
358,2022-01-27,1039,16,69.0
359,2020-05-05,1090,58,156.0
360,2022-05-04,1233,1,26.0
361,2021-04-18,316,7,54.0
362,2020-08-29,234,4,25.0
363,2020-05-15,968,49,110.0
364,2021-10-25,363,3,34.0
365,2021-06-19,30,2,4.0
366,2020-08-16,120,3,18.0
367,2021-04-28,572,5,51.0
368,2021-11-18,632,9,38.0
369,2021-06-06,58,7,15.0
370,2021-03-06,220,2,30.0
371,2021-12-01,1217,6,62.0
372,2020-08-22,191,2,17.0
373,2021-02-02,647,6,47.0
374,2021-07-27,301,1,19.0
375,2020-03-18,162,1,39.0
376,2021-04-05,947,6,49.0
377,2020-03-17,96,1,24.0
378,2021-02-01,609,9,41.0
379,2022-04-08,397,0,14.0
380,2021-05-26,172,6,32.0
381,2021-07-22,224,1,14.0
382,2021-02-17,384,8,32.0
383,2021-05-17,346,7,51.0
384,2020-06-16,210,11,24.0
385,2021-06-26,20,0,4.0
386,2020-11-02,2323,15,109.0
387,2020-09-22,350,2,26.0
388,2021-10-07,383,4,18.0
389,2021-08-26,592,3,44.0
390,2022-05-09,1619,0,38.0
391,2021-08-09,506,4,34.0
392,2021-06-07,103,9,16.0
393,2020-06-21,48,11,16.0
394,2021-01-08,1204,18,52.0
395,2020-04-21,873,36,171.0
396,2020-08-01,141,5,22.0
397,2020-12-25,160,21,68.0
398,2021-04-07,840,3,58.0
399,2021-03-28,355,7,41.0
400,2020-05-20,773,29,94.0
401,2022-01-07,4841,34,229.0
402,2020-12-04,1855,32,103.0
403,2020-10-29,1887,4,88.0
404,2021-10-02,237,4,24.0
405,2022-06-16,740,0,37.0
406,2021-02-26,357,6,22.0
407,2022-04-13,644,0,16.0
408,2020-05-27,614,26,65.0
409,2022-01-15,1614,28,143.0
410,2022-05-01,539,0,14.0
411,2021-10-22,306,5,17.0
412,2020-11-19,2167,17,119.0
413,2022-02-11,332,8,22.0
414,2021-05-13,315,8,44.0
415,2022-03-08,164,2,12.0
416,2020-06-08,273,15,43.0
417,2022-05-31,1637,1,45.0
418,2021-04-12,864,5,58.0
419,2020-12-11,1670,28,110.0
420,2021-11-24,668,6,56.0
421,2020-10-31,1065,10,82.0
422,2020-04-18,534,39,161.0
423,2020-08-15,221,5,21.0
424,2020-05-22,724,36,92.0
425,2021-08-25,605,6,42.0
426,2020-10-13,876,5,31.0
427,2020-10-01,364,4,25.0
428,2021-04-02,675,3,56.0
429,2022-03-21,279,2,14.0
430,2021-12-10,1211,15,69.0
431,2022-06-26,441,1,23.0
432,2022-07-19,497,0,
433,2020-05-14,778,45,131.0
434,2022-06-04,581,1,36.0
435,2020-12-27,612,24,90.0
436,2022-01-21,1610,25,99.0
437,2021-04-26,647,6,61.0
438,2021-03-08,327,5,23.0
439,2020-09-14,430,3,19.0
440,2021-09-18,309,4,26.0
441,2020-10-19,1165,3,51.0
442,2022-03-19,124,0,8.0
443,2022-04-23,410,0,8.0
444,2021-05-20,248,4,40.0
445,2021-09-04,343,5,34.0
446,2021-05-04,465,6,53.0
447,2021-06-09,64,5,8.0
448,2021-09-11,321,6,32.0
449,2020-08-05,378,4,20.0
450,2022-04-05,532,1,13.0
451,2020-11-28,1373,17,117.0
452,2020-09-26,233,4,19.0
453,2020-12-29,1713,21,65.0
454,2022-05-20,1115,2,35.0
455,2020-07-27,362,1,19.0
456,2022-02-23,235,6,17.0
457,2021-12-25,1459,19,170.0
458,2022-07-12,901,1,8.0
459,2021-07-13,103,2,12.0
460,2022-04-28,819,1,21.0
461,2020-08-18,411,1,25.0
462,2020-05-19,888,27,98.0
463,2022-04-26,931,0,14.0
464,2020-12-15,1613,22,87.0
465,2021-04-01,721,2,44.0
466,2020-12-21,1463,26,92.0
467,2021-07-04,18,1,5.0
468,2020-04-27,1157,35,169.0
469,2020-04-12,340,33,136.0
470,2020-04-23,1466,36,167.0
471,2021-06-30,51,0,6.0
472,2022-03-04,121,2,14.0
473,2020-03-11,13,0,7.0
474,2021-01-30,419,12,35.0
475,2020-11-23,2374,19,125.0
476,2021-12-13,2178,12,96.0
477,2020-03-04,1,0,2.0
478,2020-03-05,1,0,6.0
479,2021-12-19,2590,12,116.0
480,2020-03-31,489,16,161.0
481,2021-03-09,332,5,22.0
482,2020-12-06,708,28,91.0
483,2022-02-05,377,15,31.0
484,2021-12-29,9382,13,252.0
485,2021-09-13,554,7,41.0
486,2020-07-13,337,4,33.0
487,2021-01-12,1089,12,56.0
488,2020-04-09,574,25,150.0
489,2021-06-20,27,1,6.0
490,2022-03-10,165,2,13.0
491,2022-07-05,1098,0,26.0
492,2020-03-30,439,12,158.0
493,2020-07-03,174,5,29.0
494,2020-06-11,201,10,28.0
495,2021-04-04,307,5,41.0
496,2021-10-23,222,2,19.0
497,2022-04-12,532,0,16.0
498,2020-04-08,704,36,172.0
499,2021-05-15,177,7,44.0
500,2021-02-05,403,8,48.0
501,2021-08-07,318,2,28.0
502,2022-04-14,549,1,10.0
503,2020-11-01,733,6,74.0
504,2020-03-24,350,2,119.0
505,2020-05-10,306,38,99.0
506,2022-04-20,712,0,14.0
507,2021-07-01,32,2,5.0
508,2021-04-23,531,7,51.0
509,2021-11-23,721,4,39.0
510,2021-05-18,286,5,33.0
511,2020-05-30,237,21,55.0
512,2022-07-16,521,1,
513,2022-01-05,6823,22,268.0
514,2022-01-17,2014,31,135.0
515,2020-05-31,121,22,39.0
516,2021-12-12,827,13,66.0
517,2022-07-08,853,3,29.0
518,2021-04-16,656,6,59.0
519,2021-09-03,511,6,44.0
520,2020-03-20,155,0,52.0
521,2021-04-14,772,9,47.0
522,2022-03-11,125,2,15.0
523,2020-11-26,264,23,103.0
524,2021-10-09,239,4,22.0
525,2022-01-30,430,14,40.0
526,2021-05-31,45,2,18.0
527,2020-11-12,2927,18,114.0
528,2020-11-18,2326,17,120.0
529,2020-11-14,1400,16,104.0
530,2022-07-17,456,0,
531,2020-07-24,346,3,26.0
532,2022-03-20,119,2,7.0
533,2022-03-16,234,2,13.0
534,2020-06-30,264,3,26.0
535,2021-03-03,336,5,24.0
536,2021-09-09,514,4,39.0
537,2020-09-24,406,5,21.0
538,2020-06-27,130,5,13.0
539,2022-04-07,512,3,9.0
540,2020-04-04,326,22,159.0
541,2020-04-28,1321,56,174.0
542,2021-03-01,312,2,26.0
543,2020-10-27,1627,4,89.0
544,2021-05-21,245,6,30.0
545,2021-02-13,222,8,27.0
546,2021-03-04,288,8,27.0
547,2020-07-21,290,1,30.0
548,2020-03-13,32,0,8.0
549,2022-06-13,910,0,34.0
550,2020-09-08,369,1,21.0
551,2020-12-28,1665,18,79.0
552,2021-08-10,532,4,41.0
553,2020-06-23,234,9,26.0
554,2022-05-21,646,1,28.0
555,2021-05-22,130,5,36.0
556,2022-03-18,150,2,9.0
557,2021-05-19,278,7,43.0
558,2020-07-17,324,3,26.0
559,2021-03-29,729,3,42.0
560,2020-04-22,1053,45,145.0
561,2020-05-03,464,45,137.0
562,2020-05-13,877,45,124.0
563,2020-06-20,125,10,20.0
564,2022-06-27,919,3,30.0
