,date,rides,docked_bike,electric_bike,classic_bike,evening,mid_day,morning,night,member,casual,mean_km_between_stations,mean_minutes,mean_ride_distance,tavg,tmin,tmax,prcp,snow,wspd,cases,deaths,hospitalizations
71,2020-06-11,12275.0,12275.0,,,5606.0,4405.0,1977.0,287.0,7127.0,5148.0,2.290744456427302,37.08306856754922,2.290744456427302,21.9,15.0,28.3,0.0,0.0,20.9,201,10,28.0
72,2020-06-12,11989.0,11989.0,,,4521.0,5024.0,1995.0,449.0,6941.0,5048.0,2.3043843910817503,30.68676703645008,2.3043843910817503,19.7,13.9,25.6,0.0,0.0,11.7,248,21,24.0
73,2020-06-13,14278.0,14278.0,,,4187.0,7690.0,1879.0,522.0,7245.0,7033.0,2.4282607242777403,36.910314236354296,2.4282607242777403,15.4,12.2,19.4,1.3,0.0,21.6,120,18,23.0
74,2020-06-14,14602.0,14602.0,,,4190.0,8231.0,1697.0,484.0,7127.0,7475.0,2.33926443734149,37.62227206318769,2.33926443734149,17.0,13.9,21.1,0.0,0.0,17.2,92,12,27.0
75,2020-06-15,10164.0,10164.0,,,4411.0,3816.0,1743.0,194.0,6227.0,3937.0,2.26314773287029,29.02835989767808,2.26314773287029,18.4,12.8,22.8,0.0,0.0,12.9,235,20,31.0
76,2020-06-16,12081.0,12081.0,,,5499.0,4274.0,2065.0,243.0,7127.0,4954.0,2.2523563562223607,29.398414866319012,2.2523563562223607,21.8,15.0,28.9,0.0,0.0,10.9,210,11,24.0
77,2020-06-17,12827.0,12827.0,,,5949.0,4341.0,2180.0,357.0,7397.0,5430.0,2.280599205000979,29.11663548244588,2.280599205000979,24.5,18.3,30.0,0.0,0.0,10.3,219,21,29.0
78,2020-06-18,13319.0,13319.0,,,6204.0,4522.0,2165.0,428.0,7641.0,5678.0,2.296278407809115,33.28258127487049,2.296278407809115,25.5,17.8,30.6,0.0,0.0,9.7,184,14,29.0
79,2020-06-19,16307.0,16307.0,,,6818.0,6263.0,2453.0,773.0,8474.0,7833.0,2.3414593243638153,31.91183949633082,2.3414593243638153,27.7,20.6,33.9,0.0,0.0,7.2,219,15,37.0
80,2020-06-20,14665.0,14665.0,,,3520.0,7650.0,2568.0,927.0,7346.0,7319.0,2.2194011042547506,32.04533128764632,2.2194011042547506,27.0,21.7,32.8,7.4,0.0,15.4,125,10,20.0
81,2020-06-21,14824.0,14824.0,,,4737.0,7587.0,2042.0,458.0,7146.0,7678.0,2.2733120925352535,37.51997773880194,2.2733120925352535,24.2,21.1,28.3,0.0,0.0,11.6,48,11,16.0
82,2020-06-22,7036.0,7036.0,,,1512.0,2945.0,2251.0,328.0,4510.0,2526.0,2.1440476716282055,27.70050691680879,2.1440476716282055,23.3,18.9,30.0,29.2,0.0,12.5,218,9,32.0
83,2020-06-23,13692.0,13692.0,,,6117.0,5034.0,2349.0,192.0,8120.0,5572.0,2.2597960918014848,29.160167737851786,2.2597960918014848,20.7,17.2,26.1,0.0,0.0,18.4,234,9,26.0
84,2020-06-24,12890.0,12890.0,,,5971.0,4020.0,2557.0,342.0,7660.0,5230.0,2.290134560660715,28.97488880268942,2.290134560660715,21.3,16.1,26.1,0.0,0.0,11.9,245,9,25.0
85,2020-06-25,16001.0,16001.0,,,7350.0,5465.0,2652.0,534.0,8885.0,7116.0,2.3229532383578415,33.01128887777847,2.3229532383578415,23.1,17.2,28.9,0.0,0.0,11.4,249,11,22.0
86,2020-06-26,6228.0,6228.0,,,2005.0,2179.0,1516.0,528.0,3970.0,2258.0,2.0891709451421794,24.916725540569473,2.0891709451421794,23.7,21.1,29.4,33.0,0.0,13.4,219,13,29.0
87,2020-06-27,20499.0,20499.0,,,6971.0,9751.0,2841.0,936.0,9527.0,10972.0,2.3606244037868893,35.81973510902971,2.3606244037868893,25.9,22.2,31.7,0.0,0.0,12.8,130,5,13.0
